lena,lenb,fb0_diff,fb1_diff
1,1,4,0
1,2,1,0
1,3,1,1
1,4,1,1
1,5,2,1
1,6,2,2
1,7,2,2
1,8,3,3
1,9,3,4
1,10,4,4
1,11,5,5
1,12,5,6
1,13,6,6
1,14,7,7
1,15,8,8
1,16,9,9
1,17,10,10
1,18,11,11
1,19,12,12
1,20,13,13
1,21,14,15
1,22,15,15
1,23,16,17
1,24,18,18
1,25,19,20
1,26,20,21
1,27,22,23
1,28,23,24
1,29,25,25
2,2,2,1
2,3,3,3
2,4,4,5
2,5,7,8
2,6,10,12
2,7,14,16
2,8,19,22
2,9,26,28
2,10,33,36
2,11,42,45
2,12,52,64
2,13,62,60
2,14,76,67
2,15,91,76
2,16,108,85
2,17,125,93
2,18,144,101
2,19,167,110
2,20,191,119
2,21,219,137
2,22,247,140
2,23,279,152
2,24,321,164
2,25,351,168
2,26,369,181
2,27,439,208
2,28,478,218
3,3,6,4
3,4,11,9
3,5,20,17
3,6,34,28
3,7,53,47
3,8,82,74
3,9,117,110
3,10,166,158
3,11,225,200
3,12,254,244
3,13,330,312
3,14,423,389
3,15,540,482
3,16,676,583
3,17,829,686
3,18,873,696
3,19,1054,808
3,20,1274,911
3,21,1364,893
3,22,1607,979
3,23,1830,984
3,24,2036,1058
3,25,2286,1060
3,26,2523,1140
3,27,2726,1151
4,4,12,9
4,5,28,20
4,6,52,36
4,7,89,61
4,8,140,107
4,9,217,178
4,10,326,285
4,11,477,430
4,12,679,622
4,13,954,884
4,14,1319,1209
4,15,1751,1612
4,16,2327,2115
4,17,3007,2672
4,18,3896,3374
4,19,4914,4190
4,20,6194,5115
4,21,8016,6459
4,22,9532,7285
4,23,11523,8596
4,24,14687,9784
4,25,17050,11303
4,26,20140,12730
5,5,66,40
5,6,128,89
5,7,246,184
5,8,445,354
5,9,780,647
5,10,1304,1109
5,11,2072,1840
5,12,3215,2916
5,13,4838,4423
5,14,7099,6627
5,15,10258,9572
5,16,14473,13072
5,17,19269,17789
5,18,26628,24425
5,19,35525,32108
5,20,47008,41470
5,21,60767,53519
5,22,79746,68327
5,23,103258,84667
5,24,125224,99856
5,25,155828,121121
6,6,294,157
6,7,639,371
6,8,1371,831
6,9,2661,1758
6,10,4706,3415
6,11,8272,6219
6,12,13902,10982
6,13,22125,18355
6,14,34648,29546
6,15,51476,45060
6,16,77256,68112
6,17,113131,100238
6,18,159246,142745
6,19,222437,200819
6,20,312064,282588
6,21,428893,383072
6,22,573969,505665
6,23,757774,659534
6,24,986977,825821
7,7,1639,682
7,8,3631,1584
7,9,7628,3759
7,10,15072,8558
7,11,28541,18184
7,12,51004,35091
7,13,86900,64406
7,14,144611,112626
7,15,232010,154714
7,16,362790,220574
7,17,558341,328579
7,18,838437,502357
7,19,1236061,772618
7,20,1782160,1171526
7,21,2533656,1715791
7,22,3557462,2490173
7,23,4815326,3507413
8,8,9047,3552
8,9,20536,8635
8,10,43388,20721
8,11,87711,47216
8,12,166639,100540
8,13,304433,201074
8,14,536208,376901
8,15,933193,639065
8,16,1545170,941033
8,17,2466709,1487271
8,18,3950331,2258237
8,19,5941558,3507394
8,20,8938893,5332930
8,21,13228260,8194124
8,22,19242142,12486047
9,9,49790,20142
9,10,113221,49240
9,11,245131,118169
9,12,503529,264477
9,13,966025,566234
9,14,1809847,1137260
9,15,3287329,2063687
9,16,5764742,3546994
9,17,9641522,5915685
9,18,16021992,9563196
9,19,25622904,15211050
9,20,40735428,24116332
9,21,63174479,37732094
10,10,283481,114428
10,11,645108,269695
10,12,1418850,644540
10,13,2831820,1465276
10,14,5724290,3164356
10,15,10768401,4913171
10,16,19556234,8343440
10,17,35237457,15234747
10,18,60768611,27470450
10,19,102709508,49067598
10,20,170838680,84791368
11,11,1539978,594733
11,12,3548924,1517136
11,13,7729061,3592435
11,14,16216107,8220897
11,15,32849261,14282197
11,16,63263787,26117897
11,17,118258690,48451544
11,18,213534408,89657772
11,19,375595668,164611242
12,12,7167946,2757988
12,13,16902373,7257022
12,14,38302602,17445281
12,15,81948243,34946680
12,16,166010388,68893232
12,17,325106688,131947246
12,18,617063579,251161350
13,13,42398032,16399734
13,14,98209874,41140428
13,15,218961617,91013548
13,16,464067649,192008234
13,17,1129106663,394737904
14,14,239915091,108662576
14,15,556192973,321916329
14,16,5124826473,2006850059
15,15,9204392329,1707125851