lena,lenb,fb0_same,fb1_same
1,1,2,0
1,2,1,0
1,3,1,0
1,4,1,0
1,5,2,0
1,6,2,0
1,7,2,0
1,8,3,0
1,9,3,0
1,10,4,0
1,11,5,0
1,12,6,0
1,13,6,0
1,14,7,0
1,15,8,0
1,16,9,0
1,17,10,0
1,18,11,0
1,19,12,0
1,20,13,0
1,21,14,0
1,22,15,0
1,23,16,0
1,24,17,0
1,25,19,0
1,26,20,0
1,27,22,0
1,28,23,0
1,29,24,0
2,2,1,0
2,3,3,0
2,4,5,0
2,5,8,0
2,6,12,0
2,7,17,0
2,8,22,0
2,9,29,0
2,10,37,0
2,11,48,0
2,12,58,0
2,13,70,0
2,14,84,0
2,15,100,0
2,16,136,0
2,17,123,0
2,18,139,0
2,19,159,0
2,20,182,0
2,21,206,0
2,22,231,0
2,23,336,0
2,24,293,0
2,25,322,0
2,26,360,0
2,27,396,0
2,28,436,0
3,3,7,0
3,4,14,0
3,5,26,0
3,6,43,0
3,7,68,0
3,8,102,0
3,9,149,0
3,10,209,0
3,11,252,0
3,12,333,0
3,13,435,0
3,14,714,0
3,15,676,0
3,16,813,0
3,17,1064,0
3,18,1252,0
3,19,1275,0
3,20,1520,0
3,21,1799,0
3,22,2027,0
3,23,2139,0
3,24,2477,0
3,25,2546,0
3,26,2847,0
3,27,3058,0
4,4,15,0
4,5,31,0
4,6,60,0
4,7,110,0
4,8,187,0
4,9,301,0
4,10,468,0
4,11,699,0
4,12,998,0
4,13,1387,0
4,14,1793,0
4,15,2401,0
4,16,3044,0
4,17,3833,0
4,18,4644,0
4,19,5634,0
4,20,6728,0
4,21,8037,0
4,22,9346,0
4,23,10910,0
4,24,12622,0
4,25,14746,0
4,26,17784,0
5,5,47,0
5,6,101,0
5,7,202,0
5,8,384,0
5,9,740,0
5,10,1288,0
5,11,1915,0
5,12,2787,0
5,13,4153,0
5,14,6356,0
5,15,8793,0
5,16,12281,0
5,17,16672,0
5,18,22800,0
5,19,30453,0
5,20,40098,0
5,21,51586,0
5,22,66722,0
5,23,84981,0
5,24,106792,0
5,25,133315,0
6,6,249,0
6,7,544,0
6,8,1128,0
6,9,2151,0
6,10,3960,0
6,11,6891,0
6,12,11446,0
6,13,18402,0
6,14,28090,0
6,15,42769,0
6,16,64952,0
6,17,93603,0
6,18,134307,0
6,19,187020,0
6,20,257044,0
6,21,352126,0
6,22,467712,0
6,23,621092,0
6,24,822315,0
7,7,1343,0
7,8,2965,0
7,9,6182,0
7,10,12352,0
7,11,22638,0
7,12,40884,0
7,13,71271,0
7,14,122116,0
7,15,193332,0
7,16,306437,0
7,17,462446,0
7,18,688144,0
7,19,1010912,0
7,20,1479634,0
7,21,2098843,0
7,22,2901693,0
7,23,4071269,0
8,8,7689,0
8,9,17146,0
8,10,36759,0
8,11,73776,0
8,12,142218,0
8,13,259101,0
8,14,458781,0
8,15,775337,0
8,16,1281361,0
8,17,2083494,0
8,18,3302227,0
8,19,5171747,0
8,20,7724786,0
8,21,11434596,0
8,22,16685234,0
9,9,43868,0
9,10,97734,0
9,11,211897,0
9,12,426029,0
9,13,834749,0
9,14,1574466,0
9,15,2848705,0
9,16,4981252,0
9,17,8482856,0
9,18,13961015,0
9,19,22485956,0
9,20,35563572,0
9,21,54288190,0
10,10,243062,0
10,11,564164,0
10,12,1212562,0
10,13,2474980,0
10,14,4911415,0
10,15,9292956,0
10,16,17255986,0
10,17,30578929,0
10,18,52985882,0
10,19,89057433,0
10,20,147391935,0
11,11,1374640,0
11,12,3131112,0
11,13,6844308,0
11,14,14292264,0
11,15,28493367,0
11,16,55397915,0
11,17,103490296,0
11,18,188359712,0
11,19,330106074,0
12,12,7699091,0
12,13,17621788,0
12,14,38603434,0
12,15,82298030,0
12,16,165212696,0
12,17,320117615,0
12,18,604541150,0
13,13,43563251,0
13,14,98590310,0
13,15,1164924042,0
13,16,1712834794,0
13,17,965298107,0
14,14,544129714,0
14,15,1859252549,0
14,16,2476753124,0
15,15,3915092778,0