lena,lenb,dp_diff
1,1,15
2,2,7
3,3,8
4,4,13
5,5,12
6,6,16
7,7,18
8,8,21
9,9,25
10,10,47
20,20,89
30,30,181
40,40,307
50,50,465
60,60,648
70,70,813
80,80,966
90,90,1216
100,100,1490
200,200,5127
300,300,9605
400,400,13810
500,500,17865
600,600,22607
700,700,27231
800,800,34639
900,900,43485
1000,1000,53780
2000,2000,215664
3000,3000,488658
4000,4000,861853
5000,5000,1338470
6000,6000,1977142
7000,7000,2683925
8000,8000,3528417
9000,9000,4561003
10000,10000,5634060
20000,20000,22763640
30000,30000,52491026
40000,40000,92955854
50000,50000,145128077
60000,60000,209829576
70000,70000,285471829
80000,80000,373698803
90000,90000,473029799